stk_cd,per,roe,pbr,ev,bps,sale_amt,bus_pro,cup_nga,cap
006660,8.13,5.3,0.42,-8.91,34716,1158,65,149,41
009150,13.40,8.2,1.02,5.31,115152,102941,7350,7032,3735
010140,198.82,1.8,2.67,16.57,5414,99031,5027,539,8800
016360,5.57,12.9,0.68,,82018,22398,12058,8990,4585
018260,13.34,8.4,1.08,3.33,120638,138282,9111,7895,387
028050,5.42,19.7,0.97,1.06,21591,99666,9716,6387,9800
028260,11.56,6.8,0.79,6.00,180536,421032,29834,27720,184
029780,7.41,8.0,0.55,,76732,27898,8854,6646,6148
032830,8.73,5.8,0.56,,164215,108372,24998,22603,1000
068290,17.11,6.3,1.05,187.34,17639,406,-2,109,50
207940,66.75,10.5,6.63,37.76,153212,45473,13201,10833,1779
439250,38.28,2.9,1.08,,9859,-0,-1,10,18
448730,398.95,0.3,0.99,104.14,4614,94,61,9,455
448740,44.41,2.4,1.07,,9741,-0,-1,11,23
468510,49.99,2.1,1.03,,1976,-0,-1,5,11
011790,,-34.3,2.29,,37559,17216,-2768,-4551,1893
017670,8.73,10.8,0.92,3.53,54898,179406,18234,13871,305
018670,10.81,6.7,0.71,10.66,296461,70959,2872,1778,462
034730,,-5.6,0.37,6.61,370376,1246904,20629,5288,160
096770,,-9.7,0.49,17.38,164556,747170,231,-23725,7798
210980,4.17,6.6,0.31,10.14,30626,8709,537,442,186
260870,,-1413.0,,,-6705,838,-2428,-2441,31
475150,29.68,,2.81,15.33,7193,3322,376,224,68
032640,14.74,4.4,0.64,3.31,19825,146252,8631,3146,25740
051900,29.70,3.4,1.00,5.76,318161,68119,4590,2039,781
051910,,-2.1,0.43,7.76,425191,489161,-5632,5150,3530
066570,34.44,1.8,0.60,2.62,116348,877282,34197,5914,8182
004560,7.02,4.9,0.34,4.72,33980,7954,306,250,754
005380,3.91,12.4,0.44,8.84,405094,1752312,142396,132299,11580
005440,1.60,23.0,0.33,1.42,21615,74093,1981,7920,788
006390,5.03,14.6,0.70,5.35,22323,5134,791,600,966
010620,69.11,5.3,3.55,43.26,51439,46300,885,1132,1997
011210,9.09,3.5,0.30,2.27,135900,81809,2188,1295,1360
011760,2.75,19.7,0.50,3.65,50876,69957,1335,1210,661
012330,5.57,9.4,0.48,3.80,501648,572370,30735,40602,4910
016790,6.59,340.5,2.11,50.54,472,1285,27,284,188
017800,15.77,14.4,2.09,11.62,35390,28853,2257,1939,2122
039010,4.70,14.9,0.62,1.93,12255,1689,111,139,43
041440,22.87,3.6,0.80,11.63,10536,3551,100,66,90
